module,revisions,code
lib\ansible\utils\vars.py,5,146
test\units\module_utils\basic\test_deprecate_warn.py,5,55
lib\ansible\playbook\role\requirement.py,5,79
test\lib\ansible_test\_internal\cli\environments.py,5,436
hacking\env-setup,5,72
lib\ansible\modules\include_tasks.py,5,82
test\lib\ansible_test\_internal\provider\layout\__init__.py,5,168
test\utils\shippable\units.sh,5,6
test\integration\targets\ansible\runme.sh,5,53
lib\ansible\parsing\dataloader.py,5,308
lib\ansible\module_utils\facts\system\pkg_mgr.py,5,103
test\integration\targets\inventory\runme.sh,5,55
test\lib\ansible_test\_internal\__init__.py,5,76
test\units\plugins\cache\test_cache.py,5,157
lib\ansible\executor\interpreter_discovery.py,5,131
lib\ansible\parsing\yaml\dumper.py,5,69
test\integration\targets\meta_tasks\runme.sh,5,51
lib\ansible\plugins\doc_fragments\default_callback.py,5,91
test\integration\targets\module_utils\runme.sh,5,8
lib\ansible\modules\set_stats.py,5,72
test\integration\targets\filter_mathstuff\tasks\main.yml,5,277
test\sanity\code-smell\update-bundled.py,5,84
test\integration\targets\connection_ssh\runme.sh,5,42
test\lib\ansible_test\_internal\commands\sanity\pylint.py,5,198
lib\ansible\plugins\doc_fragments\shell_windows.py,5,4
test\integration\targets\ansible-galaxy-collection\tasks\publish.yml,5,29
lib\ansible\plugins\doc_fragments\url_windows.py,5,141
lib\ansible\collections\list.py,5,60
test\sanity\code-smell\botmeta.py,5,62
lib\ansible\module_utils\common\file.py,5,155
test\utils\shippable\incidental\network.sh,5,26
lib\ansible\plugins\doc_fragments\action_common_attributes.py,5,59
test\integration\targets\apt\tasks\apt.yml,5,395
test\integration\targets\apt_repository\tasks\mode.yaml,5,90
test\integration\targets\systemd\tasks\main.yml,5,86
test\lib\ansible_test\_internal\commands\coverage\html.py,5,33
lib\ansible\plugins\action\validate_argument_spec.py,5,63
test\integration\targets\unarchive\tasks\test_unprivileged_user.yml,5,72
lib\ansible\_vendor\__init__.py,4,19
lib\ansible\modules\raw.py,4,77
test\sanity\code-smell\no-unwanted-files.py,4,30
lib\ansible\galaxy\dependency_resolution\providers.py,4,157
test\integration\targets\apt_key\tasks\file.yml,4,44
test\integration\targets\ansible-galaxy-collection\tasks\pulp.yml,4,8
test\integration\targets\dnf\tasks\gpg.yml,4,71
test\integration\targets\git\tasks\main.yml,4,23
test\lib\ansible_test\_internal\cli\__init__.py,4,45
lib\ansible\executor\playbook_executor.py,4,221
test\lib\ansible_test\_internal\provider\source\unversioned.py,4,62
test\integration\targets\module_utils_Ansible.Basic\library\ansible_basic_tests.ps1,4,2889
test\integration\targets\incidental_setup_docker\tasks\RedHat-7.yml,4,33
